id,MoE-Inner-Warp,MoE-Inner-Weft,SM-Inner,MoE-Outer-Warp,MoE-Outer-Weft,SM-Outer,Friction Coefficient,Axial Load,Pre-strain,sample,Bunching (mm),image-front,image-s1,image-s2
94,100,340,3.88,150,103,0.484,0.2,6.60E-05,Inside jacket 1.6%,sample-1093,13.23041964,sample-1093_FrontView.jpg,sample-1093_SideView_1.jpg,sample-1093_SideView_2.jpg
95,100,340,3.88,150,103,0.484,0.2,6.60E-05,Inside jacket 0.44%,sample-1094,0.735119373,sample-1094_FrontView.jpg,sample-1094_SideView_1.jpg,sample-1094_SideView_2.jpg
96,100,340,3.88,150,103,0.484,0.2,6.60E-05,Outside jacket 0.5%,sample-1095,0.546458664,sample-1095_FrontView.jpg,sample-1095_SideView_1.jpg,sample-1095_SideView_2.jpg
97,100,340,3.88,150,103,1.79,0.14,3.00E-05,Inside jacket 1.6%,sample-1096,10.62632816,sample-1096_FrontView.jpg,sample-1096_SideView_1.jpg,sample-1096_SideView_2.jpg
98,100,340,3.88,150,103,1.79,0.14,3.00E-05,Inside jacket 0.44%,sample-1097,0.613442566,sample-1097_FrontView.jpg,sample-1097_SideView_1.jpg,sample-1097_SideView_2.jpg
99,100,340,3.88,150,103,1.79,0.14,3.00E-05,Outside jacket 0.5%,sample-1098,0.581857069,sample-1098_FrontView.jpg,sample-1098_SideView_1.jpg,sample-1098_SideView_2.jpg
100,100,340,3.88,150,103,1.79,0.14,6.60E-05,Inside jacket 1.6%,sample-1099,9.758621331,sample-1099_FrontView.jpg,sample-1099_SideView_1.jpg,sample-1099_SideView_2.jpg
101,100,180,3.128,150,103,0.484,0.2,3.00E-05,Inside jacket 0.44%,sample-11,0.641464883,sample-11_FrontView.jpg,sample-11_SideView_1.jpg,sample-11_SideView_2.jpg
102,100,340,3.88,150,103,1.79,0.14,6.60E-05,Inside jacket 0.44%,sample-1100,0.499527395,sample-1100_FrontView.jpg,sample-1100_SideView_1.jpg,sample-1100_SideView_2.jpg
103,100,340,3.88,150,103,1.79,0.14,6.60E-05,Outside jacket 0.5%,sample-1101,0.642939893,sample-1101_FrontView.jpg,sample-1101_SideView_1.jpg,sample-1101_SideView_2.jpg
104,100,340,3.88,150,103,1.79,0.2,3.00E-05,Inside jacket 1.6%,sample-1102,9.374831998,sample-1102_FrontView.jpg,sample-1102_SideView_1.jpg,sample-1102_SideView_2.jpg
105,100,340,3.88,150,103,1.79,0.2,3.00E-05,Inside jacket 0.44%,sample-1103,0.618043819,sample-1103_FrontView.jpg,sample-1103_SideView_1.jpg,sample-1103_SideView_2.jpg
106,100,340,3.88,150,103,1.79,0.2,3.00E-05,Outside jacket 0.5%,sample-1104,0.493647709,sample-1104_FrontView.jpg,sample-1104_SideView_1.jpg,sample-1104_SideView_2.jpg
107,100,340,3.88,150,103,1.79,0.2,6.60E-05,Inside jacket 1.6%,sample-1105,22.8551666,sample-1105_FrontView.jpg,sample-1105_SideView_1.jpg,sample-1105_SideView_2.jpg
108,100,340,3.88,150,103,1.79,0.2,6.60E-05,Inside jacket 0.44%,sample-1106,0.496075957,sample-1106_FrontView.jpg,sample-1106_SideView_1.jpg,sample-1106_SideView_2.jpg
109,100,340,3.88,150,103,1.79,0.2,6.60E-05,Outside jacket 0.5%,sample-1107,0.475997085,sample-1107_FrontView.jpg,sample-1107_SideView_1.jpg,sample-1107_SideView_2.jpg
110,100,340,3.88,150,250,0.484,0.14,3.00E-05,Inside jacket 1.6%,sample-1108,18.95023129,sample-1108_FrontView.jpg,sample-1108_SideView_1.jpg,sample-1108_SideView_2.jpg
111,100,340,3.88,150,250,0.484,0.14,3.00E-05,Inside jacket 0.44%,sample-1109,0.584218438,sample-1109_FrontView.jpg,sample-1109_SideView_1.jpg,sample-1109_SideView_2.jpg
112,100,340,3.88,150,250,0.484,0.14,3.00E-05,Outside jacket 0.5%,sample-1110,1.358837109,sample-1110_FrontView.jpg,sample-1110_SideView_1.jpg,sample-1110_SideView_2.jpg
113,100,340,3.88,150,250,0.484,0.14,6.60E-05,Inside jacket 1.6%,sample-1111,20.83483642,sample-1111_FrontView.jpg,sample-1111_SideView_1.jpg,sample-1111_SideView_2.jpg
114,100,340,3.88,150,250,0.484,0.14,6.60E-05,Inside jacket 0.44%,sample-1112,0.786526839,sample-1112_FrontView.jpg,sample-1112_SideView_1.jpg,sample-1112_SideView_2.jpg
115,100,340,3.88,150,250,0.484,0.14,6.60E-05,Outside jacket 0.5%,sample-1113,1.29433777,sample-1113_FrontView.jpg,sample-1113_SideView_1.jpg,sample-1113_SideView_2.jpg
116,100,340,3.88,150,250,0.484,0.2,3.00E-05,Inside jacket 1.6%,sample-1114,12.61913915,sample-1114_FrontView.jpg,sample-1114_SideView_1.jpg,sample-1114_SideView_2.jpg
117,100,340,3.88,150,250,0.484,0.2,3.00E-05,Inside jacket 0.44%,sample-1115,0.802625732,sample-1115_FrontView.jpg,sample-1115_SideView_1.jpg,sample-1115_SideView_2.jpg
118,100,340,3.88,150,250,0.484,0.2,3.00E-05,Outside jacket 0.5%,sample-1116,1.060972484,sample-1116_FrontView.jpg,sample-1116_SideView_1.jpg,sample-1116_SideView_2.jpg
119,100,340,3.88,150,250,0.484,0.2,6.60E-05,Inside jacket 1.6%,sample-1117,19.65512076,sample-1117_FrontView.jpg,sample-1117_SideView_1.jpg,sample-1117_SideView_2.jpg
120,100,340,3.88,150,250,0.484,0.2,6.60E-05,Inside jacket 0.44%,sample-1118,0.678165941,sample-1118_FrontView.jpg,sample-1118_SideView_1.jpg,sample-1118_SideView_2.jpg
121,100,340,3.88,150,250,0.484,0.2,6.60E-05,Outside jacket 0.5%,sample-1119,0.97904351,sample-1119_FrontView.jpg,sample-1119_SideView_1.jpg,sample-1119_SideView_2.jpg
122,100,340,3.88,150,250,1.79,0.14,3.00E-05,Inside jacket 1.6%,sample-1120,19.27883613,sample-1120_FrontView.jpg,sample-1120_SideView_1.jpg,sample-1120_SideView_2.jpg
123,100,340,3.88,150,250,1.79,0.14,3.00E-05,Inside jacket 0.44%,sample-1121,0.557424471,sample-1121_FrontView.jpg,sample-1121_SideView_1.jpg,sample-1121_SideView_2.jpg
124,100,340,3.88,150,250,1.79,0.14,3.00E-05,Outside jacket 0.5%,sample-1122,1.148072642,sample-1122_FrontView.jpg,sample-1122_SideView_1.jpg,sample-1122_SideView_2.jpg
125,100,340,3.88,150,250,1.79,0.14,6.60E-05,Inside jacket 1.6%,sample-1123,16.39142938,sample-1123_FrontView.jpg,sample-1123_SideView_1.jpg,sample-1123_SideView_2.jpg
126,100,340,3.88,150,250,1.79,0.14,6.60E-05,Inside jacket 0.44%,sample-1124,0.513169633,sample-1124_FrontView.jpg,sample-1124_SideView_1.jpg,sample-1124_SideView_2.jpg
